"","X1","X2","X3","X4","X5"
"276","2000-02-27","Heat","","• Alonzo Mourning","sore left ankle (DNP)"
"277","2000-02-27","Heat","","• Voshon Lenard","lower abdominal strain (DNP)"
"278","2000-02-27","Spurs","","• Tim Duncan","lower abdominal strain (DNP)"
"279","2000-02-27","Timberwolves","","• Sam Mitchell","sprained left ankle (DNP)"
"280","2000-02-28","Bulls","","• Fred Hoiberg","strained right quadricep (DTD)"
"281","2000-02-28","Heat","","• Alonzo Mourning","sore left ankle (DNP)"
"282","2000-02-28","Heat","","• Voshon Lenard","lower abdominal strain (DNP)"
"283","2000-02-28","Hornets","","• Derrick Coleman","sprained right ankle (DTD)"
"284","2000-02-28","Mavericks","","• Shawn Bradley","flu (DTD)"
"285","2000-02-28","Pacers","","• Dale Davis","left hamstring injury (DTD)"
"286","2000-02-28","Rockets","","• Hakeem Olajuwon","virus (DNP)"
"287","Date","Team","Acquired","Relinquished","Notes"
"288","2000-02-28","Spurs","","• Tim Duncan","lower abdominal strain (DTD)"
"289","2000-02-28","Timberwolves","","• Sam Mitchell","sprained left ankle (DTD)"
"290","2000-02-29","Blazers","","• Brian Grant","sore right foot (DNP)"
"291","2000-02-29","Bulls","","• Fred Hoiberg","strained right quadricep (DNP)"
"292","2000-02-29","Bulls","","• John Starks","left knee tendinitis (DNP)"
"293","2000-02-29","Heat","","• Alonzo Mourning","sore left ankle (DNP)"
"294","2000-02-29","Heat","","• Voshon Lenard","lower abdominal strain (DNP)"
"295","2000-02-29","Hornets","","• Derrick Coleman","sprained right ankle (DNP)"
"296","2000-02-29","Mavericks","","• Shawn Bradley","flu (DNP)"
"297","2000-02-29","Pacers","","• Dale Davis","left hamstring injury (DNP)"
"298","2000-02-29","Spurs","","• Tim Duncan","lower abdominal strain (DNP)"
"299","2000-02-29","Timberwolves","","• Sam Mitchell","sprained left ankle (DNP)"
"300","2000-03-01","Spurs","","• Malik Rose","sprained right ankle (DNP)"
"301","2000-03-02","Bulls","","• John Starks","tendinitis in both knees (DNP)"
"302","2000-03-02","Heat","","• Alonzo Mourning","sore left ankle (DNP)"
"303","2000-03-02","Hornets","","• Derrick Coleman","sprained right ankle (DNP)"
"304","2000-03-02","Mavericks","","• Shawn Bradley","flu (DNP)"
"305","2000-03-02","Spurs","","• Malik Rose","sprained right ankle (DNP)"
"306","2000-03-02","Spurs","","• Tim Duncan","lower abdominal strain (DNP)"
"307","2000-03-02","Timberwolves","","• Sam Mitchell","sprained left ankle (DNP)"
"308","2000-03-03","Blazers","","• Brian Grant","sore right foot (DNP)"
"309","2000-03-03","Blazers","","• Damon Stoudamire","bruised left knee/quadricep (DNP)"
"310","2000-03-03","Hornets","","• Derrick Coleman","sprained right ankle (DNP)"
"311","2000-03-03","Nuggets","","• James Posey","bruised right fibula (DNP)"
"312","2000-03-03","Warriors","","• Billy Owens","sprained right knee (DNP)"
"313","Date","Team","Acquired","Relinquished","Notes"
"314","2000-03-03","Warriors","","• Erick Dampier","sore left knee (DNP)"
"315","2000-03-04","Bucks","","• Danny Manning","sprained right knee (DNP)"
"316","2000-03-04","Bulls","","• John Starks","tendinitis in both knees (DNP)"
"317","2000-03-04","Clippers","","• Troy Hudson","stomach virus (DNP)"
"318","2000-03-04","Nuggets","","• Tariq Abdul-Wahad / Olivier Saint-Jean","sprained left wrist (DNP)"
"319","2000-03-04","Spurs","","• Malik Rose","sprained right ankle (DNP)"
"320","2000-03-04","Suns","","• Rex Chapman","flu (DNP)"
"321","2000-03-04","Timberwolves","","• Sam Mitchell","sprained left ankle (DNP)"
"322","2000-03-05","Bulls","","• John Starks","tendinitis in both knees (DNP)"
"323","2000-03-05","Cavaliers","","• Brevin Knight","tendinitis in right quadriceps (DNP)"
"324","2000-03-05","Sonics","","• Chuck Person","sore left knee (DNP)"
"325","2000-03-05","Timberwolves","","• Sam Mitchell","sprained left ankle (DNP)"
"326","2000-03-05","Warriors","","• Erick Dampier","left knee inflammation (DNP)"
"327","2000-03-06","Blazers","","• Damon Stoudamire","left knee injury (DNP)"
"328","2000-03-06","Bucks","","• Danny Manning","strained right knee (DNP)"
"329","2000-03-06","Clippers","","• Keith Closs","back spasms (DNP)"
"330","2000-03-06","Clippers","","• Troy Hudson","stomach virus (DNP)"
"331","2000-03-06","Heat","","• Duane Causwell","sprained right thumb (DNP)"
"332","2000-03-06","Magic","","• Ron Mercer","sprained left ankle (DNP)"
"333","2000-03-06","Spurs","","• Malik Rose","sprained right ankle (DNP)"
"334","2000-03-06","Spurs","","• Terry Porter (b. 1963-04-08)","sprained MCL in left knee (DNP)"
"335","2000-03-06","Suns","","• Rex Chapman","flu (DNP)"
"336","2000-03-07","Bulls","","• John Starks","tendinitis in both knees (DNP)"
"337","2000-03-07","Nuggets","","• Tariq Abdul-Wahad / Olivier Saint-Jean","sprained left wrist (DNP)"
"338","2000-03-07","Timberwolves","","• Sam Mitchell","sprained left ankle (DNP)"
"339","Date","Team","Acquired","Relinquished","Notes"
"340","2000-03-07","Warriors","","• Erick Dampier","left knee inflammation (DNP)"
"341","2000-03-08","Bucks","","• Ervin Johnson","acute back spasms (DNP)"
"342","2000-03-08","Bucks","","• Mirsad Turkcan","torn plantar fascia in right foot (DNP)"
"343","2000-03-08","Bulls","","• John Starks","tendinitis in both knees (DNP)"
"344","2000-03-08","Clippers","","• Troy Hudson","gastritis (DNP)"
"345","2000-03-08","Magic","","• Ron Mercer","sprained left ankle (DNP)"
"346","2000-03-08","Nuggets","","• Tariq Abdul-Wahad / Olivier Saint-Jean","sprained left ankle (DNP)"
"347","2000-03-09","Mavericks","","• Cedric Ceballos","sprained right / left (P) finger (DNP)"
"348","2000-03-09","Pacers","","• Jalen Rose","stomach flu (DNP)"
"349","2000-03-09","Rockets","","• Walt Williams","back spasms (DNP)"
"350","2000-03-09","Spurs","","• Malik Rose","sprained right ankle (DNP)"
"351","2000-03-09","Spurs","","• Terry Porter (b. 1963-04-08)","sprained MCL in left knee (DNP)"
"352","2000-03-10","Bucks","","• Danny Manning","strained right knee (DNP)"
"353","2000-03-10","Bulls","","• John Starks","tendinitis in both knees (DNP)"
